UBE2C	ENSG00000175063	202954_at
METRN	ENSG00000103260	219051_x_at
ATG3	ENSG00000144848	221492_s_at
SYNE2	ENSG00000054654	202761_s_at
ITGB5	ENSG00000082781	201125_s_at
BRCA1	ENSG00000012048	204531_s_at
ATP2C1	ENSG00000017260	212255_s_at
UBQLN2	ENSG00000188021	215884_s_at
ITGAE	ENSG00000083457	205055_at
PIH1D1	ENSG00000104872	217872_at
AKR7A2	ENSG00000053371	214259_s_at
NET1	ENSG00000173848	201829_at
ARL4C	ENSG00000188042	202208_s_at
HEBP1	ENSG00000013583	218450_at
WDR7	ENSG00000091157	212880_at
MTF2	ENSG00000143033	203346_s_at
UBE3C	ENSG00000009335	201817_at
CNOT4	ENSG00000080802	203291_at
RNH1	ENSG00000023191	206050_s_at
RPL39L	ENSG00000163923	210115_at
CRK	ENSG00000167193	202224_at
FASTKD5	ENSG00000215251	219016_at
SATB1	ENSG00000182568	203408_s_at
PNKP	ENSG00000039650	218961_s_at
MACF1	ENSG00000127603	208634_s_at
PSIP1	ENSG00000164985	209337_at
EDN1	ENSG00000078401	218995_s_at
RASA1	ENSG00000145715	202677_at
RGS2	ENSG00000116741	202388_at
PSMD4	ENSG00000159352	200882_s_at
HN1L	ENSG00000206053	212115_at
GADD45A	ENSG00000116717	203725_at
CHMP4A	ENSG00000254505	218571_s_at
VAPB	ENSG00000124164	202550_s_at
FOXJ3	ENSG00000198815	206015_s_at
PTPN12	ENSG00000127947	202006_at
TIMELESS	ENSG00000111602	203046_s_at
PHF15	ENSG00000043143	212660_at
LYN	ENSG00000254087	210754_s_at
GNA11	ENSG00000088256	40562_at
GAPDH	ENSG00000111640	217398_x_at
GSTZ1	ENSG00000100577	209531_at
PSMG1	ENSG00000183527	203405_at
TOPBP1	ENSG00000163781	202633_at
RPS5	ENSG00000083845	200024_at
SQSTM1	ENSG00000161011	201471_s_at
EIF4EBP1	ENSG00000187840	221539_at
PTPRK	ENSG00000152894	203038_at
CIRBP	ENSG00000099622	200810_s_at
IFRD2	ENSG00000214706	209100_at
CD97	ENSG00000123146	202910_s_at
APPBP2	ENSG00000062725	202630_at
RPP38	ENSG00000152464	205562_at
ADH5	ENSG00000197894	208847_s_at
CYB561	ENSG00000008283	209163_at
SUV39H1	ENSG00000101945	218619_s_at
WFS1	ENSG00000109501	202908_at
CRTAP	ENSG00000170275	201380_at
APBB2	ENSG00000163697	213419_at
GHR	ENSG00000112964	205498_at
BIRC5	ENSG00000089685	202095_s_at
USP1	ENSG00000162607	202413_s_at
BIRC2	ENSG00000110330	202076_at
RALA	ENSG00000006451	214435_x_at
LRRC16A	ENSG00000079691	219573_at
DECR1	ENSG00000104325	202447_at
GATA3	ENSG00000107485	209603_at
MTHFD2	ENSG00000065911	201761_at
SPEN	ENSG00000065526	201997_s_at
KIF14	ENSG00000118193	206364_at
GLOD4	ENSG00000167699	209092_s_at
APP	ENSG00000142192	200602_at
NR2F6	ENSG00000160113	209262_s_at
SNX7	ENSG00000162627	205573_s_at
PLCB3	ENSG00000149782	213384_x_at
GFOD1	ENSG00000145990	219821_s_at
GTF2E2	ENSG00000197265	202680_at
KIAA0753	ENSG00000198920	204711_at
SORBS3	ENSG00000120896	209253_at
TOR1A	ENSG00000136827	202349_at
UBE2J1	ENSG00000198833	217825_s_at
FHL2	ENSG00000115641	202949_s_at
STK25	ENSG00000115694	201314_at
SIRT3	ENSG00000142082	221562_s_at
ADCK3	ENSG00000163050	218168_s_at
PNP	ENSG00000198805	201695_s_at
TRIM13	ENSG00000204977	203659_s_at
GAA	ENSG00000171298	202812_at
PIGB	ENSG00000069943	205452_at
SNX6	ENSG00000129515	217789_at
HS2ST1	ENSG00000153936	203285_s_at
EPN2	ENSG00000072134	203464_s_at
SCCPDH	ENSG00000143653	201825_s_at
ANO10	ENSG00000160746	218910_at
FAM20B	ENSG00000116199	202916_s_at
RPIA	ENSG00000153574	212973_at
STXBP2	ENSG00000076944	209367_at
PPP1R13B	ENSG00000088808	216347_s_at
GSTM2	ENSG00000213366	204418_x_at
TMEM109	ENSG00000110108	201361_at
DNAJB2	ENSG00000135924	202500_at
NIPSNAP1	ENSG00000184117	201709_s_at
PSMD9	ENSG00000110801	207805_s_at
TBPL1	ENSG00000028839	208398_s_at
BLCAP	ENSG00000166619	201032_at
PAK1	ENSG00000149269	209615_s_at
IL1B	ENSG00000125538	205067_at
MAP7	ENSG00000135525	202889_x_at
KLHDC2	ENSG00000165516	217906_at
POLE2	ENSG00000100479	205909_at
EXOSC4	ENSG00000178896	218695_at
BHLHE40	ENSG00000134107	201170_s_at
CASC3	ENSG00000108349	207842_s_at
PTPN6	ENSG00000111679	206687_s_at
ORC1	ENSG00000085840	205085_at
HMGCR	ENSG00000113161	202540_s_at
PRKCQ	ENSG00000065675	210038_at
UGDH	ENSG00000109814	203343_at
MAPKAPK2	ENSG00000162889	201460_at
COPS7A	ENSG00000111652	209029_at
CHAC1	ENSG00000128965	219270_at
PPP2R3C	ENSG00000092020	218852_at
ADO	ENSG00000181915	212500_at
MLEC	ENSG00000110917	200617_at
VPS72	ENSG00000163159	202261_at
TATDN2	ENSG00000157014	203648_at
DDB2	ENSG00000134574	203409_at
SESN1	ENSG00000080546	218346_s_at
PIK3C2B	ENSG00000133056	204484_at
SUZ12	ENSG00000178691	212287_at
ABHD4	ENSG00000100439	218581_at
IPO13	ENSG00000117408	203546_at
CERK	ENSG00000100422	218421_at
EED	ENSG00000074266	209572_s_at
PIK3R3	ENSG00000117461	202743_at
MKNK1	ENSG00000079277	209467_s_at
FZD1	ENSG00000157240	204451_at
RRP12	ENSG00000052749	216913_s_at
CDC20	ENSG00000117399	202870_s_at
IKBKAP	ENSG00000070061	202491_s_at
HIF1A	ENSG00000100644	200989_at
NFATC3	ENSG00000072736	207416_s_at
HMGCS1	ENSG00000112972	221750_at
FRS2	ENSG00000166225	221308_at
RHEB	ENSG00000106615	201453_x_at
ADAT1	ENSG00000065457	219384_s_at
SHC1	ENSG00000160691	201469_s_at
KIAA1033	ENSG00000136051	212795_at
ZNF318	ENSG00000171467	203521_s_at
MELK	ENSG00000165304	204825_at
NFKBIA	ENSG00000100906	201502_s_at
SMC4	ENSG00000113810	201664_at
SLC1A4	ENSG00000115902	212811_x_at
USP6NL	ENSG00000148429	204761_at
EBP	ENSG00000147155	202735_at
BAG3	ENSG00000151929	217911_s_at
PAICS	ENSG00000128050	201014_s_at
HOXA10	ENSG00000253293	213150_at
SNX13	ENSG00000071189	213292_s_at
HSPA8	ENSG00000109971	208687_x_at
RRAGA	ENSG00000155876	201628_s_at
CD44	ENSG00000026508	204489_s_at
RPS6KA1	ENSG00000117676	203379_at
ABCB6	ENSG00000115657	203192_at
NFKB2	ENSG00000077150	207535_s_at
POLD4	ENSG00000175482	202996_at
ACAT2	ENSG00000120437	209608_s_at
BAMBI	ENSG00000095739	203304_at
POLR2K	ENSG00000147669	202635_s_at
CAPN1	ENSG00000014216	200752_s_at
PHKG2	ENSG00000156873	203709_at
ILK	ENSG00000166333	201234_at
NENF	ENSG00000117691	218407_x_at
NNT	ENSG00000112992	202784_s_at
SLC25A14	ENSG00000102078	204587_at
HSPD1	ENSG00000144381	200807_s_at
RNF167	ENSG00000108523	212047_s_at
CDK2	ENSG00000123374	204252_at
MBNL2	ENSG00000139793	203640_at
MBTPS1	ENSG00000140943	201620_at
ICAM1	ENSG00000090339	202637_s_at
TIMM17B	ENSG00000126768	203342_at
SLC27A3	ENSG00000143554	222217_s_at
LBR	ENSG00000143815	201795_at
SMARCA4	ENSG00000127616	213720_s_at
NR1H2	ENSG00000131408	218215_s_at
STUB1	ENSG00000103266	217934_x_at
TRAPPC6A	ENSG00000007255	204985_s_at
CDK1	ENSG00000170312	203213_at
FCHO1	ENSG00000130475	213669_at
CREG1	ENSG00000143162	201200_at
TRAM2	ENSG00000065308	202368_s_at
TMCO1	ENSG00000143183	208716_s_at
PPP2R5E	ENSG00000154001	203338_at
YKT6	ENSG00000106636	217784_at
ZDHHC6	ENSG00000023041	218249_at
PLK1	ENSG00000166851	202240_at
CHEK2	ENSG00000183765	210416_s_at
DDX10	ENSG00000178105	204977_at
CDK7	ENSG00000134058	211297_s_at
DDIT4	ENSG00000168209	202887_s_at
KDM5B	ENSG00000117139	201548_s_at
TP53BP2	ENSG00000143514	203120_at
CD40	ENSG00000101017	205153_s_at
CLTB	ENSG00000175416	205172_x_at
CAST	ENSG00000153113	208908_s_at
SCP2	ENSG00000116171	201339_s_at
TM9SF3	ENSG00000077147	217758_s_at
ACD	ENSG00000102977	204617_s_at
RPN1	ENSG00000163902	201011_at
KIAA0196	ENSG00000164961	201985_at
STAT3	ENSG00000168610	208992_s_at
DENND2D	ENSG00000162777	221081_s_at
PRUNE	ENSG00000143363	209586_s_at
ADRB2	ENSG00000169252	206170_at
IGF1R	ENSG00000140443	203627_at
ANXA7	ENSG00000138279	209860_s_at
ASCC3	ENSG00000112249	212815_at
PTPRC	ENSG00000081237	207238_s_at
ATP1B1	ENSG00000143153	201243_s_at
PACSIN3	ENSG00000165912	218744_s_at
MAPK9	ENSG00000050748	203218_at
NARFL	ENSG00000103245	218742_at
SLC35A1	ENSG00000164414	203306_s_at
NUSAP1	ENSG00000137804	218039_at
PSMD2	ENSG00000175166	200830_at
NUP62	ENSG00000213024	202153_s_at
LAGE3	ENSG00000196976	219061_s_at
GPATCH8	ENSG00000186566	212485_at
DUSP11	ENSG00000144048	202703_at
PRKCH	ENSG00000027075	206099_at
WASF3	ENSG00000132970	204042_at
DHRS7	ENSG00000100612	210788_s_at
FOS	ENSG00000170345	209189_at
TMED10	ENSG00000170348	200929_at
TOP2A	ENSG00000131747	201292_at
NT5DC2	ENSG00000168268	218051_s_at
ARID5B	ENSG00000150347	212614_at
VDAC1	ENSG00000213585	217140_s_at
TBP	ENSG00000112592	203135_at
TPD52L2	ENSG00000101150	201379_s_at
DERA	ENSG00000023697	218102_at
PLEKHM1	ENSG00000225190	212717_at
ERBB3	ENSG00000065361	202454_s_at
PSME1	ENSG00000092010	200814_at
REEP5	ENSG00000129625	208872_s_at
WDTC1	ENSG00000142784	40829_at
MTERFD1	ENSG00000156469	219363_s_at
SYNGR3	ENSG00000127561	205691_at
KTN1	ENSG00000126777	200915_x_at
ALDOC	ENSG00000109107	202022_at
TSPAN6	ENSG00000000003	209109_s_at
ETFB	ENSG00000105379	202942_at
VAV3	ENSG00000134215	218807_at
GOLT1B	ENSG00000111711	218193_s_at
PTPN1	ENSG00000196396	202716_at
VGLL4	ENSG00000144560	212399_s_at
HIST1H2BK	ENSG00000197903	209806_at
PYCR1	ENSG00000183010	202148_s_at
MAPK13	ENSG00000156711	210058_at
AURKB	ENSG00000178999	209464_at
ECH1	ENSG00000104823	200789_at
NUCB2	ENSG00000070081	203675_at
C2CD2L	ENSG00000172375	204757_s_at
CCP110	ENSG00000103540	204662_at
DCK	ENSG00000156136	203302_at
ATP6V1D	ENSG00000100554	208898_at
PIK3R4	ENSG00000196455	212740_at
MAP3K4	ENSG00000085511	204089_x_at
CNDP2	ENSG00000133313	217752_s_at
PCNA	ENSG00000132646	201202_at
KLHL21	ENSG00000162413	203068_at
CSNK1A1	ENSG00000113712	206562_s_at
GFPT1	ENSG00000198380	202722_s_at
MAT2A	ENSG00000168906	200768_s_at
GNB5	ENSG00000069966	204000_at
CHN1	ENSG00000128656	212624_s_at
BCL2	ENSG00000171791	203685_at
NPRL2	ENSG00000114388	203246_s_at
PECR	ENSG00000115425	221142_s_at
SMARCD2	ENSG00000108604	201827_at
DLD	ENSG00000091140	209095_at
PAFAH1B3	ENSG00000079462	203228_at
NRAS	ENSG00000213281	202647_s_at
WRB	ENSG00000182093	202749_at
RHOA	ENSG00000067560	200059_s_at
NMT1	ENSG00000136448	201158_at
TBC1D9B	ENSG00000197226	212054_x_at
DMTF1	ENSG00000135164	203301_s_at
NVL	ENSG00000143748	207877_s_at
DAG1	ENSG00000173402	205417_s_at
CALU	ENSG00000128595	200757_s_at
STAT1	ENSG00000115415	200887_s_at
ARNT2	ENSG00000172379	202986_at
PHKB	ENSG00000102893	202738_s_at
PARP1	ENSG00000143799	208644_at
C5	ENSG00000106804	205500_at
PPARD	ENSG00000112033	37152_at
DUSP6	ENSG00000139318	208891_at
INSIG1	ENSG00000186480	201626_at
RPA1	ENSG00000132383	201528_at
ZNF395	ENSG00000186918	218149_s_at
CASP2	ENSG00000106144	208050_s_at
PIK3CA	ENSG00000121879	204369_at
ALAS1	ENSG00000023330	205633_s_at
ST3GAL5	ENSG00000115525	203217_s_at
FIS1	ENSG00000214253	218034_at
PSMB10	ENSG00000205220	202659_at
TXNRD1	ENSG00000198431	201266_at
ATP5S	ENSG00000125375	213995_at
USP7	ENSG00000187555	201498_at
TLR4	ENSG00000136869	221060_s_at
SHB	ENSG00000107338	204656_at
MTFR1	ENSG00000066855	203208_s_at
NFATC4	ENSG00000100968	205897_at
CIAPIN1	ENSG00000005194	208424_s_at
NPEPL1	ENSG00000215440	89476_r_at
HDAC6	ENSG00000094631	206846_s_at
DUSP4	ENSG00000120875	204014_at
DUSP3	ENSG00000108861	201536_at
ARID4B	ENSG00000054267	221230_s_at
ST7	ENSG00000004866	207871_s_at
HOXA5	ENSG00000106004	213844_at
CAMSAP2	ENSG00000118200	212765_at
FKBP4	ENSG00000004478	200895_s_at
USP22	ENSG00000124422	200083_at
GLRX	ENSG00000173221	206662_at
TP53BP1	ENSG00000067369	203050_at
MBOAT7	ENSG00000125505	209179_s_at
CDKN1A	ENSG00000124762	202284_s_at
SYK	ENSG00000165025	207540_s_at
GRB10	ENSG00000106070	209409_at
NFIL3	ENSG00000165030	203574_at
HDAC2	ENSG00000196591	201833_at
ETS1	ENSG00000134954	214447_at
EPHB2	ENSG00000133216	209588_at
ATF6	ENSG00000118217	203952_at
PAK4	ENSG00000130669	203154_s_at
TMEM5	ENSG00000118600	204808_s_at
IGF2R	ENSG00000197081	201393_s_at
OXA1L	ENSG00000155463	208717_at
HSPA4	ENSG00000170606	211015_s_at
MYCBP2	ENSG00000005810	201959_s_at
PDLIM1	ENSG00000107438	208690_s_at
SQRDL	ENSG00000137767	217995_at
MVP	ENSG00000013364	202180_s_at
TBXA2R	ENSG00000006638	336_at
TUBB6	ENSG00000176014	209191_at
CREB1	ENSG00000118260	204313_s_at
SMNDC1	ENSG00000119953	200071_at
GPR56	ENSG00000205336	212070_at
PRSS23	ENSG00000150687	202458_at
KIAA0355	ENSG00000166398	203288_at
PDGFA	ENSG00000197461	205463_s_at
FBXO11	ENSG00000138081	219208_at
MEST	ENSG00000106484	202016_at
RFX5	ENSG00000143390	202963_at
POLB	ENSG00000070501	203616_at
AARS	ENSG00000090861	201000_at
PXMP2	ENSG00000176894	219076_s_at
MRPS16	ENSG00000182180	218046_s_at
TWF2	ENSG00000247596	202009_at
P4HTM	ENSG00000178467	222125_s_at
FDFT1	ENSG00000079459	208647_at
SGCB	ENSG00000163069	205120_s_at
BTK	ENSG00000010671	205504_at
PDHX	ENSG00000110435	203067_at
CPNE3	ENSG00000085719	202119_s_at
CTNNAL1	ENSG00000119326	202468_s_at
TIMM22	ENSG00000177370	219184_x_at
TES	ENSG00000135269	202720_at
PUF60	ENSG00000179950	209899_s_at
RTN2	ENSG00000125744	34408_at
CBR3	ENSG00000159231	205379_at
RPS6	ENSG00000137154	200081_s_at
PCMT1	ENSG00000120265	205202_at
NFE2L2	ENSG00000116044	201146_at
COASY	ENSG00000068120	201913_s_at
HLA-DRA	ENSG00000204287	208894_at
CCDC85B	ENSG00000175602	204610_s_at
FSD1	ENSG00000105255	219170_at
KIT	ENSG00000157404	205051_s_at
AXIN1	ENSG00000103126	212849_at
PDS5A	ENSG00000121892	212140_at
RFC5	ENSG00000111445	203209_at
ARPP19	ENSG00000128989	221482_s_at
PTGS2	ENSG00000073756	204748_at
C2CD2	ENSG00000157617	212875_s_at
UBR7	ENSG00000012963	218108_at
ZNF451	ENSG00000112200	212557_at
TNIP1	ENSG00000145901	207196_s_at
LPAR2	ENSG00000064547	206723_s_at
MEF2C	ENSG00000081189	207968_s_at
CDKN2A	ENSG00000147889	207039_at
HIST2H2BE	ENSG00000184678	202708_s_at
FOXO4	ENSG00000184481	205451_at
PRKCD	ENSG00000163932	202545_at
ARHGEF2	ENSG00000116584	209435_s_at
LPGAT1	ENSG00000123684	202651_at
POLR2I	ENSG00000105258	212955_s_at
RAB11FIP2	ENSG00000107560	203884_s_at
SLC35B1	ENSG00000121073	202433_at
GADD45B	ENSG00000099860	209304_x_at
COL4A1	ENSG00000187498	211980_at
MAPKAPK3	ENSG00000114738	202788_at
MAP2K5	ENSG00000137764	204756_at
FOSL1	ENSG00000175592	204420_at
DPH2	ENSG00000132768	204514_at
PLS1	ENSG00000120756	205190_at
PRAF2	ENSG00000243279	203456_at
DCTD	ENSG00000129187	201572_x_at
BID	ENSG00000015475	211725_s_at
ASAH1	ENSG00000104763	213702_x_at
HSD17B11	ENSG00000198189	217989_at
MUC1	ENSG00000185499	207847_s_at
CDH3	ENSG00000062038	203256_at
RAP1GAP	ENSG00000076864	203911_at
TFDP1	ENSG00000198176	212330_at
HDGFRP3	ENSG00000166503	209526_s_at
CCNB2	ENSG00000157456	202705_at
ATF5	ENSG00000169136	204999_s_at
CANT1	ENSG00000171302	221732_at
TIAM1	ENSG00000156299	213135_at
SMC3	ENSG00000108055	209257_s_at
FOXO3	ENSG00000118689	204131_s_at
PRCP	ENSG00000137509	201494_at
SMC1A	ENSG00000072501	201589_at
HEATR1	ENSG00000119285	218595_s_at
IGHMBP2	ENSG00000132740	215980_s_at
MYL9	ENSG00000101335	201058_s_at
PGRMC1	ENSG00000101856	201121_s_at
CLSTN1	ENSG00000171603	201561_s_at
SLC25A4	ENSG00000151729	202825_at
AGL	ENSG00000162688	203566_s_at
ZMYM2	ENSG00000121741	202778_s_at
PRKAG2	ENSG00000106617	218292_s_at
TCERG1	ENSG00000113649	202396_at
SNX11	ENSG00000002919	220140_s_at
BLMH	ENSG00000108578	202179_at
EPB41L2	ENSG00000079819	201719_s_at
HSD17B10	ENSG00000072506	202282_at
TGFB3	ENSG00000119699	209747_at
BECN1	ENSG00000126581	208945_s_at
MRPL19	ENSG00000115364	203465_at
CLPX	ENSG00000166855	204809_at
RBM6	ENSG00000004534	201967_at
TSC22D3	ENSG00000157514	208763_s_at
TCTA	ENSG00000145022	203054_s_at
MYCBP	ENSG00000214114	203360_s_at
ADAM10	ENSG00000137845	202604_x_at
NUP88	ENSG00000108559	202900_s_at
DRAP1	ENSG00000175550	203258_at
HADH	ENSG00000138796	201036_s_at
CISD1	ENSG00000122873	218597_s_at
POLG2	ENSG00000256525	205811_at
TRAK2	ENSG00000115993	202125_s_at
DYNLT3	ENSG00000165169	203303_at
PCM1	ENSG00000078674	202174_s_at
ITFG1	ENSG00000129636	221449_s_at
GRB7	ENSG00000141738	210761_s_at
